1,493,429320.1393,3387250.208,1
2,493,429323.1881,3387252.788,1
3,493,429326.2369,3387255.368,1
4,493,429329.2857,3387257.948,1
5,493,429332.3345,3387260.527,1
6,493,429335.3833,3387263.107,1
7,493,429338.4321,3387265.687,2
8,493,429341.4809,3387268.267,0
9,493,429344.5297,3387270.846,0
10,493,429347.5785,3387273.426,1
11,493,429350.6273,3387276.006,1
12,493,429353.6761,3387278.586,2
13,493,429356.7249,3387281.165,2
14,493,429359.7737,3387283.745,1
15,493,429362.8225,3387286.325,0
16,493,429365.7825,3387289.002,1
17,493,429368.6363,3387291.796,0
18,494,429371.4899,3387294.59,2
19,494,429374.3435,3387297.384,0
20,494,429377.1971,3387300.178,0
21,494,429380.0507,3387302.973,2
22,494,429382.9043,3387305.767,2
23,494,429385.7579,3387308.561,1
24,494,429388.6115,3387311.355,1
25,494,429391.4651,3387314.149,2
26,494,429394.3187,3387316.943,1
27,494,429397.1723,3387319.737,2
28,493,429400.0259,3387322.532,0
29,494,429402.8795,3387325.326,0
30,494,429405.7331,3387328.12,1
31,494,429408.5867,3387330.914,1
32,494,429411.4403,3387333.708,1
33,494,429414.2939,3387336.502,2
34,494,429417.1475,3387339.297,1
35,494,429420.001,3387342.091,0
36,494,429422.8546,3387344.885,1
37,494,429425.7082,3387347.679,0
38,493,429428.5618,3387350.473,1
39,493,429431.4154,3387353.267,2
40,493,429434.269,3387356.061,2
41,493,429437.1226,3387358.856,0
42,493,429439.9762,3387361.65,1
43,493,429442.8298,3387364.444,1
44,493,429445.6834,3387367.238,1
45,493,429448.537,3387370.032,1
46,493,429451.3906,3387372.826,2
47,493,429454.2442,3387375.621,2
48,493,429457.0978,3387378.415,2
49,492,429459.9514,3387381.209,2
50,491,429462.805,3387384.003,1
51,491,429465.6391,3387386.815,2
52,491,429468.2405,3387389.84,1
53,491,429470.7743,3387392.927,0
54,491,429473.308,3387396.014,1
55,491,429475.8418,3387399.101,0
56,491,429478.3756,3387402.189,2
57,491,429480.9093,3387405.276,1
58,491,429483.4431,3387408.363,2
59,490,429485.9768,3387411.45,1
60,490,429488.5106,3387414.537,2
61,490,429491.0444,3387417.624,0
62,490,429493.5781,3387420.711,2
63,490,429496.1119,3387423.798,0
64,490,429498.6457,3387426.885,0
65,490,429501.1794,3387429.973,1
66,490,429503.7132,3387433.06,2
67,490,429506.247,3387436.147,0
68,490,429508.7807,3387439.234,1
69,489,429511.3145,3387442.321,2
70,489,429513.8483,3387445.408,2
71,489,429516.382,3387448.495,0
72,489,429518.9158,3387451.583,1
73,489,429521.4496,3387454.67,2
74,489,429523.9833,3387457.757,1
75,489,429526.5171,3387460.844,1
76,489,429529.0508,3387463.931,1
77,489,429531.5846,3387467.018,2
78,489,429534.1184,3387470.105,2
79,487,429536.6521,3387473.192,1
80,487,429539.1859,3387476.279,0
81,487,429541.7197,3387479.367,2
82,487,429544.2534,3387482.454,1
83,487,429546.7872,3387485.541,1
84,487,429549.321,3387488.628,0
85,488,429551.8547,3387491.715,0
86,488,429554.3885,3387494.802,1
87,488,429556.9222,3387497.889,0
88,487,429559.2157,3387501.146,1
89,487,429561.2784,3387504.566,2
90,487,429563.3412,3387507.986,0
91,487,429565.404,3387511.406,0
92,487,429567.4667,3387514.825,2
93,487,429569.5295,3387518.245,0
94,487,429571.5923,3387521.665,0
95,487,429573.655,3387525.085,1
96,487,429575.7178,3387528.505,1
97,486,429577.7805,3387531.925,2
98,486,429579.8433,3387535.345,2
99,487,429581.9061,3387538.764,0
100,487,429583.9688,3387542.184,0
101,487,429586.0316,3387545.604,0
102,487,429588.0944,3387549.024,0
103,487,429590.1571,3387552.444,1
104,487,429592.2199,3387555.864,2
105,487,429594.2826,3387559.283,0
106,487,429596.3454,3387562.703,0
107,487,429598.4207,3387566.115,1
108,487,429600.5673,3387569.483,1
109,487,429602.7252,3387572.844,2
110,487,429604.8831,3387576.204,2
111,487,429607.041,3387579.565,2
112,487,429609.1989,3387582.925,0
113,487,429611.3567,3387586.286,0
114,487,429613.5146,3387589.647,2
115,488,429615.6725,3387593.007,0
116,488,429617.8304,3387596.368,0
117,488,429619.9883,3387599.729,1
118,488,429622.1461,3387603.089,0
119,488,429624.304,3387606.45,0
120,488,429626.4619,3387609.81,2
121,488,429628.6198,3387613.171,2
122,488,429630.7776,3387616.532,1
123,488,429632.9355,3387619.892,1
124,490,429635.0934,3387623.253,2
125,490,429637.2513,3387626.614,0
126,490,429639.4092,3387629.974,2
127,490,429641.567,3387633.335,2
128,490,429643.7249,3387636.695,1
129,490,429645.8828,3387640.056,0
130,490,429648.0407,3387643.417,1
131,490,429650.1986,3387646.777,1
132,490,429652.3564,3387650.138,2
133,492,429654.5143,3387653.499,2
134,492,429656.6722,3387656.859,0
135,492,429658.8301,3387660.22,0
136,492,429660.9879,3387663.581,1
137,492,429663.1656,3387666.928,1
138,492,429665.4258,3387670.22,2
139,492,429667.6951,3387673.507,2
140,492,429669.9644,3387676.793,1
141,492,429672.2337,3387680.08,0
142,493,429674.5029,3387683.366,0
143,493,429676.7722,3387686.653,0
144,493,429679.0415,3387689.939,2
145,493,429681.3108,3387693.226,2
146,493,429683.5801,3387696.512,1
147,493,429685.8494,3387699.798,0
148,493,429688.1186,3387703.085,0
149,493,429690.3879,3387706.371,2
150,493,429692.6572,3387709.658,2
151,494,429694.9265,3387712.944,2
152,494,429697.1958,3387716.231,2
153,494,429699.4651,3387719.517,1
154,494,429701.7343,3387722.803,2
155,494,429704.0036,3387726.09,0
156,494,429706.2729,3387729.376,1
157,494,429708.5422,3387732.663,2
158,494,429710.8115,3387735.949,0
159,494,429713.0807,3387739.236,2
160,495,429715.35,3387742.522,0
161,495,429717.6193,3387745.808,0
162,495,429719.8886,3387749.095,1
